code_module,gender,region,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result
DDD,F,Scotland,Lower Than A Level,0-35,0,60,N,Pass
CCC,M,Wales,A Level or Equivalent,0-35,0,90,N,Withdrawn
CCC,F,Scotland,A Level or Equivalent,0-35,0,60,N,Pass
CCC,M,South Region,Lower Than A Level,0-35,0,90,N,Withdrawn
EEE,M,South Region,A Level or Equivalent,0-35,0,150,N,Pass
BBB,F,Yorkshire Region,Lower Than A Level,0-35,2,60,N,Fail
BBB,F,South West Region,Lower Than A Level,35-55,0,60,N,Pass
DDD,F,South East Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
DDD,F,North Region,Lower Than A Level,0-35,0,210,N,Withdrawn
CCC,F,North Region,HE Qualification,0-35,0,85,N,Withdrawn
FFF,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
FFF,M,East Anglian Region,A Level or Equivalent,0-35,0,60,Y,Pass
DDD,M,East Anglian Region,HE Qualification,35-55,0,60,N,Fail
CCC,M,South East Region,A Level or Equivalent,0-35,0,60,N,Pass
GGG,F,London Region,No Formal quals,0-35,0,30,N,Fail
DDD,M,East Anglian Region,A Level or Equivalent,35-55,1,60,N,Pass
CCC,M,South East Region,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,M,South Region,HE Qualification,0-35,0,120,N,Withdrawn
BBB,M,South East Region,Lower Than A Level,35-55,1,180,N,Fail
BBB,F,Wales,Lower Than A Level,0-35,1,120,N,Fail
DDD,M,London Region,Lower Than A Level,0-35,0,90,N,Fail
BBB,F,South East Region,Lower Than A Level,35-55,0,60,N,Pass
BBB,F,West Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass
FFF,M,London Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Fail
DDD,F,North Western Region,Lower Than A Level,0-35,1,120,Y,Withdrawn
BBB,F,South East Region,A Level or Equivalent,0-35,0,120,Y,Withdrawn
DDD,F,East Midlands Region,A Level or Equivalent,35-55,1,180,N,Withdrawn
CCC,F,North Western Region,Lower Than A Level,0-35,1,60,N,Pass
BBB,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Fail
BBB,F,East Midlands Region,Lower Than A Level,35-55,0,180,Y,Withdrawn
CCC,M,North Western Region,A Level or Equivalent,0-35,0,180,N,Withdrawn
CCC,M,South East Region,Post Graduate Qualification,35-55,0,60,N,Fail
FFF,M,Ireland,A Level or Equivalent,0-35,0,60,N,Pass
EEE,M,Ireland,A Level or Equivalent,0-35,0,60,N,Fail
BBB,F,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
DDD,M,Yorkshire Region,HE Qualification,55<=,0,60,N,Pass
BBB,F,South West Region,Lower Than A Level,35-55,2,60,N,Fail
FFF,M,North Region,Lower Than A Level,35-55,0,90,N,Withdrawn
CCC,F,South West Region,A Level or Equivalent,0-35,0,90,N,Pass
AAA,M,South East Region,HE Qualification,55<=,0,60,N,Pass
EEE,M,Wales,No Formal quals,0-35,0,30,N,Fail
FFF,F,Ireland,A Level or Equivalent,35-55,0,60,N,Fail
CCC,F,North Region,HE Qualification,35-55,0,130,N,Pass
BBB,F,South East Region,A Level or Equivalent,35-55,0,120,N,Fail
FFF,M,North Western Region,Lower Than A Level,0-35,0,60,N,Fail
BBB,M,South East Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Pass
FFF,M,Ireland,A Level or Equivalent,0-35,0,60,Y,Pass
CCC,M,Ireland,Post Graduate Qualification,0-35,0,120,N,Pass
FFF,F,East Midlands Region,A Level or Equivalent,0-35,1,60,N,Fail
DDD,F,West Midlands Region,A Level or Equivalent,35-55,0,180,N,Withdrawn
BBB,F,London Region,Lower Than A Level,35-55,1,60,N,Pass
FFF,M,Scotland,A Level or Equivalent,35-55,0,60,N,Pass
FFF,M,North Region,A Level or Equivalent,0-35,0,60,Y,Withdrawn
CCC,F,London Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,M,Wales,Lower Than A Level,0-35,0,60,N,Fail
BBB,F,South Region,A Level or Equivalent,0-35,0,60,N,Pass
DDD,M,North Western Region,HE Qualification,0-35,1,90,N,Pass
BBB,F,Ireland,A Level or Equivalent,35-55,0,60,N,Pass
FFF,F,Scotland,A Level or Equivalent,0-35,1,120,N,Pass
FFF,M,London Region,Lower Than A Level,35-55,0,90,N,Pass
DDD,F,Scotland,HE Qualification,35-55,0,60,N,Pass
GGG,F,East Anglian Region,No Formal quals,0-35,0,30,N,Pass
DDD,F,South West Region,Lower Than A Level,0-35,1,120,Y,Fail
BBB,F,West Midlands Region,Lower Than A Level,35-55,0,90,N,Withdrawn
FFF,M,North Region,Lower Than A Level,35-55,0,60,N,Fail
FFF,F,Scotland,Lower Than A Level,35-55,0,120,N,Fail
GGG,F,North Western Region,Lower Than A Level,35-55,0,30,N,Pass
GGG,M,East Anglian Region,Lower Than A Level,0-35,0,30,N,Pass
CCC,M,Ireland,HE Qualification,0-35,0,60,N,Pass
BBB,F,Wales,Lower Than A Level,0-35,0,60,N,Pass
FFF,F,East Anglian Region,Lower Than A Level,0-35,1,120,Y,Fail
FFF,M,East Midlands Region,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,M,Yorkshire Region,A Level or Equivalent,35-55,0,60,N,Fail
EEE,M,London Region,Lower Than A Level,35-55,0,60,N,Pass
FFF,M,North Region,Lower Than A Level,0-35,0,60,N,Pass
GGG,M,London Region,A Level or Equivalent,35-55,0,30,N,Fail
DDD,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Fail
EEE,M,South East Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,F,East Anglian Region,Lower Than A Level,35-55,0,60,N,Pass
BBB,F,South East Region,Lower Than A Level,35-55,0,120,N,Withdrawn
FFF,M,Yorkshire Region,Lower Than A Level,0-35,0,90,N,Withdrawn
DDD,F,East Anglian Region,Lower Than A Level,0-35,0,120,N,Fail
DDD,F,London Region,A Level or Equivalent,0-35,1,120,N,Withdrawn
DDD,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Fail
GGG,M,South West Region,A Level or Equivalent,35-55,0,30,N,Pass
FFF,M,North Region,Lower Than A Level,0-35,0,90,N,Pass
FFF,M,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Fail
GGG,F,South East Region,A Level or Equivalent,0-35,0,30,N,Withdrawn
FFF,M,East Midlands Region,HE Qualification,0-35,0,90,N,Pass
FFF,M,East Anglian Region,Lower Than A Level,0-35,2,60,N,Fail
GGG,F,West Midlands Region,A Level or Equivalent,0-35,0,30,N,Fail
DDD,M,Ireland,A Level or Equivalent,0-35,1,60,Y,Withdrawn
BBB,F,East Midlands Region,Lower Than A Level,0-35,0,60,N,Fail
BBB,F,East Anglian Region,Lower Than A Level,0-35,0,60,N,Fail
DDD,F,East Anglian Region,Lower Than A Level,0-35,0,60,N,Fail
BBB,F,South Region,Lower Than A Level,35-55,0,180,Y,Withdrawn
GGG,F,East Midlands Region,Lower Than A Level,0-35,0,30,N,Fail
CCC,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass
CCC,M,London Region,Lower Than A Level,0-35,0,60,Y,Fail
BBB,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Fail
FFF,M,Ireland,Lower Than A Level,0-35,0,90,N,Withdrawn
CCC,M,North Region,Lower Than A Level,0-35,0,120,N,Fail
BBB,F,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Pass
GGG,M,London Region,A Level or Equivalent,35-55,0,30,N,Withdrawn
FFF,M,South Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
BBB,F,East Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass
FFF,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Fail
GGG,F,London Region,A Level or Equivalent,35-55,0,30,N,Withdrawn
CCC,M,West Midlands Region,A Level or Equivalent,0-35,0,30,N,Fail
BBB,F,Ireland,A Level or Equivalent,0-35,0,120,N,Pass
EEE,M,London Region,A Level or Equivalent,0-35,0,30,N,Fail
DDD,F,East Midlands Region,A Level or Equivalent,0-35,0,90,N,Pass
FFF,M,South West Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,Scotland,A Level or Equivalent,0-35,0,120,N,Fail
FFF,M,Scotland,HE Qualification,0-35,1,90,N,Fail
DDD,F,Scotland,A Level or Equivalent,0-35,0,60,N,Pass
CCC,F,South West Region,HE Qualification,0-35,0,120,N,Pass
FFF,M,South Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
EEE,M,North Western Region,A Level or Equivalent,0-35,0,90,N,Pass
DDD,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Withdrawn
DDD,M,Yorkshire Region,A Level or Equivalent,0-35,2,130,N,Withdrawn
BBB,F,Ireland,Lower Than A Level,35-55,0,60,N,Fail
BBB,F,North Region,A Level or Equivalent,0-35,0,120,N,Fail
BBB,F,South East Region,Lower Than A Level,35-55,1,120,N,Withdrawn
CCC,M,West Midlands Region,A Level or Equivalent,0-35,0,30,N,Withdrawn
BBB,F,East Anglian Region,Lower Than A Level,0-35,0,60,N,Fail
BBB,F,South East Region,Lower Than A Level,0-35,0,60,Y,Pass
BBB,F,East Anglian Region,Lower Than A Level,0-35,1,120,N,Fail
GGG,F,South West Region,Lower Than A Level,35-55,0,90,Y,Withdrawn
DDD,M,Wales,Lower Than A Level,35-55,0,60,N,Fail
BBB,F,Wales,A Level or Equivalent,0-35,0,60,N,Fail
EEE,M,South East Region,HE Qualification,35-55,0,55,N,Pass
BBB,F,East Anglian Region,A Level or Equivalent,35-55,0,120,N,Pass
CCC,M,South East Region,A Level or Equivalent,35-55,0,30,N,Pass
EEE,M,North Region,Lower Than A Level,0-35,0,30,N,Pass
CCC,F,West Midlands Region,Lower Than A Level,0-35,0,120,N,Pass
DDD,F,South Region,Lower Than A Level,0-35,2,90,Y,Withdrawn
FFF,F,Scotland,HE Qualification,0-35,0,60,N,Pass
DDD,M,Ireland,Post Graduate Qualification,0-35,1,120,N,Pass
DDD,M,East Anglian Region,Lower Than A Level,0-35,0,120,N,Fail
GGG,M,South West Region,A Level or Equivalent,0-35,0,30,N,Pass
FFF,M,London Region,A Level or Equivalent,0-35,0,60,N,Fail
BBB,F,South East Region,Lower Than A Level,35-55,0,60,N,Pass
BBB,M,North Region,A Level or Equivalent,0-35,0,60,N,Pass
CCC,M,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
CCC,M,West Midlands Region,A Level or Equivalent,35-55,1,30,N,Fail
CCC,M,North Western Region,A Level or Equivalent,35-55,0,30,N,Withdrawn
CCC,M,South West Region,No Formal quals,0-35,0,90,N,Withdrawn
DDD,M,West Midlands Region,Lower Than A Level,0-35,2,120,N,Pass
DDD,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,Wales,Lower Than A Level,0-35,1,60,N,Withdrawn
DDD,M,North Western Region,HE Qualification,35-55,0,60,N,Pass
DDD,M,South West Region,No Formal quals,0-35,3,120,N,Withdrawn
DDD,M,East Midlands Region,Lower Than A Level,35-55,0,60,N,Pass
EEE,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
FFF,M,Yorkshire Region,A Level or Equivalent,0-35,0,210,N,Fail
CCC,M,North Region,HE Qualification,35-55,0,120,N,Fail
BBB,M,North Region,Lower Than A Level,35-55,0,60,N,Fail
BBB,F,Scotland,HE Qualification,0-35,0,120,N,Fail
BBB,F,North Western Region,A Level or Equivalent,0-35,0,60,N,Pass
CCC,M,South Region,Lower Than A Level,0-35,0,60,N,Withdrawn
EEE,M,Ireland,HE Qualification,35-55,0,60,N,Fail
GGG,F,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
FFF,M,Ireland,A Level or Equivalent,35-55,0,60,N,Fail
BBB,F,South Region,A Level or Equivalent,0-35,1,180,N,Pass
EEE,M,North Western Region,Lower Than A Level,0-35,0,30,N,Pass
BBB,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
CCC,F,South West Region,A Level or Equivalent,35-55,0,60,N,Withdrawn
CCC,F,Wales,Lower Than A Level,0-35,0,90,N,Withdrawn
FFF,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
CCC,M,Scotland,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,South West Region,Lower Than A Level,0-35,0,120,N,Withdrawn
DDD,M,Ireland,Lower Than A Level,35-55,0,60,N,Fail
EEE,M,Scotland,HE Qualification,0-35,0,30,N,Pass
FFF,M,East Midlands Region,A Level or Equivalent,0-35,0,120,Y,Pass
BBB,F,Wales,HE Qualification,35-55,0,60,N,Fail
BBB,F,West Midlands Region,A Level or Equivalent,0-35,0,180,N,Withdrawn
BBB,F,London Region,Lower Than A Level,35-55,1,120,Y,Withdrawn
CCC,M,London Region,HE Qualification,35-55,0,30,N,Fail
DDD,F,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass
DDD,M,Scotland,Lower Than A Level,35-55,0,60,N,Pass
BBB,F,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Withdrawn
EEE,F,Scotland,A Level or Equivalent,0-35,0,30,N,Fail
DDD,F,East Midlands Region,A Level or Equivalent,35-55,1,120,N,Withdrawn
DDD,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
CCC,F,East Anglian Region,A Level or Equivalent,35-55,0,90,N,Pass
DDD,F,East Anglian Region,A Level or Equivalent,0-35,0,120,Y,Withdrawn
BBB,F,South West Region,A Level or Equivalent,0-35,0,60,N,Pass
BBB,F,Wales,A Level or Equivalent,0-35,0,60,N,Pass
BBB,M,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass
GGG,F,East Midlands Region,Lower Than A Level,0-35,0,30,N,Pass
BBB,F,East Midlands Region,Lower Than A Level,35-55,0,60,N,Fail
FFF,F,London Region,A Level or Equivalent,0-35,0,120,N,Pass
DDD,M,Scotland,A Level or Equivalent,0-35,0,60,N,Withdrawn
CCC,M,North Region,A Level or Equivalent,35-55,0,30,N,Withdrawn
EEE,M,North Western Region,Lower Than A Level,0-35,0,60,N,Pass
DDD,M,South West Region,A Level or Equivalent,0-35,2,120,N,Withdrawn
FFF,M,West Midlands Region,Lower Than A Level,0-35,0,120,N,Withdrawn
EEE,F,Scotland,Lower Than A Level,0-35,0,30,N,Withdrawn
EEE,M,Scotland,HE Qualification,0-35,0,60,N,Pass
GGG,M,West Midlands Region,Lower Than A Level,35-55,1,30,N,Fail
FFF,M,South West Region,Lower Than A Level,0-35,0,120,N,Pass
FFF,M,Yorkshire Region,Lower Than A Level,0-35,0,60,N,Fail
DDD,M,London Region,HE Qualification,35-55,0,180,N,Withdrawn
DDD,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Fail
BBB,F,South Region,A Level or Equivalent,0-35,1,60,N,Pass
FFF,F,London Region,Lower Than A Level,0-35,0,120,N,Withdrawn
FFF,M,East Anglian Region,Lower Than A Level,0-35,0,60,N,Withdrawn
BBB,M,South Region,Lower Than A Level,0-35,0,60,N,Fail
FFF,M,North Western Region,Lower Than A Level,35-55,0,60,N,Withdrawn
EEE,M,Scotland,HE Qualification,0-35,0,60,N,Pass
